# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

58P320011031,20011124,0000,66.00000,2.00000,0.00000,0.00000,8.00000,8.00000,35.14600,-9999.00000,9.29000,3.23000,0.67000,2118.58000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011124,0000,66.00000,2.00000,10.00000,10.00000,7.87000,7.86901,35.13100,279.59000,9.32000,3.29000,0.67000,2119.12000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011124,0000,66.00000,2.00000,25.00000,25.00000,7.87000,7.86752,35.13300,276.55000,9.28000,3.24000,0.65000,2118.18000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011124,0000,66.00000,2.00000,50.00000,50.00000,7.87000,7.86502,35.13500,279.24000,9.30000,3.24000,0.67000,2118.64000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011124,0000,66.00000,2.00000,75.00000,75.00000,7.84000,7.83254,35.13000,277.68000,9.30000,3.24000,0.67000,2120.24000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011124,0000,66.00000,2.00000,100.00000,100.00000,7.67000,7.66017,35.12900,279.32000,10.08000,3.93000,0.68000,2119.67000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011124,0000,66.00000,2.00000,150.00000,150.00000,7.12000,7.10582,35.16600,284.08000,-9999.00000,3.74000,0.69000,2140.04000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011220,0000,66.00000,2.00000,0.00000,0.00000,7.20000,7.20000,35.18700,-9999.00000,10.82000,4.42000,0.77000,2132.01000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011220,0000,66.00000,2.00000,10.00000,10.00000,7.36000,7.35905,35.18300,-9999.00000,10.99000,4.38000,0.75000,2132.36000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011220,0000,66.00000,2.00000,25.00000,25.00000,7.36000,7.35761,35.17900,-9999.00000,10.93000,4.38000,0.75000,2131.58000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011220,0000,66.00000,2.00000,51.00000,50.00000,7.38000,7.37511,35.17500,286.58000,10.74000,4.31000,0.74000,2131.44000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011220,0000,66.00000,2.00000,76.00000,75.00000,7.42000,7.41268,35.15100,-9999.00000,10.58000,4.16000,0.74000,2130.84000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011220,0000,66.00000,2.00000,101.00000,100.00000,7.45000,7.44024,35.12800,289.05000,10.60000,4.20000,0.73000,2131.77000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20011220,0000,66.00000,2.00000,152.00000,150.00000,6.80000,6.78601,35.10400,292.80000,-9999.00000,3.96000,-9999.00000,2130.15000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,10.00000,10.00000,7.40000,7.39904,35.17900,287.11000,11.84000,4.67000,0.75000,2131.80000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,20.00000,20.00000,7.45000,7.44808,35.18100,288.42000,11.74000,4.70000,0.79000,2131.75000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,30.00000,30.00000,7.37000,7.36713,35.17900,-9999.00000,11.84000,4.72000,0.80000,2133.43000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,40.00000,40.00000,7.31000,7.30619,35.18600,-9999.00000,11.76000,4.70000,0.79000,2130.12000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,51.00000,50.00000,7.31000,7.30514,35.17700,287.28000,11.79000,4.71000,0.77000,2131.36000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,76.00000,75.00000,7.17000,7.16282,35.16900,291.98000,11.78000,4.67000,0.76000,2131.61000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,101.00000,100.00000,7.09000,7.08051,35.16700,293.43000,11.82000,4.68000,0.75000,2131.43000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,152.00000,150.00000,6.83000,6.81597,35.14600,295.09000,11.72000,4.70000,0.79000,2138.15000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,202.00000,200.00000,6.36000,6.34202,35.10600,295.44000,11.91000,5.00000,0.81000,2138.95000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,303.00000,300.00000,5.80000,5.77412,35.10000,295.65000,12.78620,4.71000,0.82000,2144.92000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,404.00000,400.00000,2.76000,2.73494,34.94400,311.15000,13.55000,6.49000,0.95000,2157.42000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,506.00000,500.00000,1.40000,1.37377,34.92600,308.78000,13.81000,6.41000,0.94000,2165.91000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,607.00000,600.00000,0.29000,0.26356,34.90900,306.22000,14.19000,7.61000,0.95000,2167.70000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,810.00000,800.00000,-0.31000,-0.34272,34.90100,307.57000,14.06000,8.25000,0.95399,2166.85000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,1012.00000,1000.00000,-0.54000,-0.58080,34.90100,302.80000,14.27000,9.27000,0.96000,2167.85000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,1216.00000,1200.00000,-0.65000,-0.70019,34.91400,301.42000,14.59000,10.00000,0.98000,2164.37000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,1520.00000,1500.00000,-0.75000,-0.81564,34.91900,299.96000,14.88000,11.22000,-9999.00000,2164.84000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020118,0000,66.00000,2.00000,2030.00000,2000.00000,-0.84000,-0.93532,34.92100,299.68000,15.17000,12.26000,1.01000,2162.82000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020217,0000,66.00000,2.00000,0.00000,0.00000,6.91000,6.91000,35.21900,-9999.00000,11.53000,4.55000,-9999.00000,2136.40000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020217,0000,66.00000,2.00000,10.00000,10.00000,6.91000,6.90908,35.18000,276.42000,11.59000,4.61000,0.77000,2138.69000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020217,0000,66.00000,2.00000,25.00000,25.00000,6.92000,6.91770,35.18000,279.89000,11.60000,4.60000,0.78000,2140.27000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020217,0000,66.00000,2.00000,51.00000,50.00000,6.90000,6.89530,35.17800,280.59000,11.61000,4.61000,0.76000,2142.14000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020217,0000,66.00000,2.00000,76.00000,75.00000,6.86000,6.85300,35.17600,279.80000,11.67000,4.70000,0.79000,2143.27000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020217,0000,66.00000,2.00000,101.00000,100.00000,6.42000,6.41102,35.17500,279.96000,11.76000,4.79000,0.77000,2143.85000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020217,0000,66.00000,2.00000,152.00000,150.00000,6.23000,6.21666,35.17300,280.39000,11.82000,4.86000,0.81000,2142.29000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,0.00000,0.00000,5.57000,5.57000,35.11200,-9999.00000,11.25000,4.95000,0.82000,2138.60000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,10.00000,10.00000,5.57000,5.56918,35.10700,287.87000,11.19000,4.96000,0.82000,2140.10000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,20.00000,20.00000,5.58000,5.57837,35.10100,288.31000,11.18000,4.93000,0.80000,2138.07000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,51.00000,50.00000,5.55000,5.54584,35.09900,286.80000,11.24000,4.98000,0.75000,2139.41000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,101.00000,100.00000,5.39000,5.38184,35.08200,288.00000,11.91000,5.69000,0.79000,2139.15000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,202.00000,200.00000,3.84000,3.82604,34.96400,290.53000,11.65000,5.28000,0.81000,2149.24000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,404.00000,400.00000,0.78000,0.76150,34.89600,301.00000,13.12000,6.65000,0.92000,2162.01000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,607.00000,600.00000,-0.12000,-0.14435,34.88700,306.01000,13.36000,7.71000,0.94000,2163.34000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,810.00000,800.00000,-0.44000,-0.47184,34.89200,306.09000,13.51000,8.68000,0.93000,2161.76000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020318,0000,66.00000,2.00000,1012.00000,1000.00000,-0.59000,-0.63039,34.90300,302.86000,13.71000,9.71000,0.96000,2160.50000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,0.00000,0.00000,7.10000,7.10000,35.18900,-9999.00000,10.96000,4.91000,0.76000,2136.18000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,10.00000,10.00000,6.78000,6.77909,35.17300,296.14000,10.97000,4.93000,0.74000,2134.88000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,20.00000,20.00000,6.76000,6.75818,35.17300,297.21000,10.95000,4.91000,0.74000,2133.12000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,30.00000,30.00000,6.72000,6.71728,35.17300,295.81600,10.96000,4.91000,0.74000,2133.57000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,40.00000,40.00000,6.73000,6.72637,35.17300,294.40000,10.98000,4.91000,0.74000,2133.20000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,51.00000,50.00000,6.72000,6.71537,35.17300,293.19000,10.99000,4.90000,0.74000,2132.85000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,76.00000,75.00000,6.72000,6.71308,35.17300,292.56000,11.10000,5.03000,0.75000,2133.20000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,101.00000,100.00000,6.74000,6.73078,35.17000,293.33000,11.25000,5.20000,0.76000,2134.22000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,152.00000,150.00000,6.78000,6.76602,35.15800,290.52000,11.61000,5.31000,0.78000,2134.29000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,202.00000,200.00000,6.54000,6.52173,35.14600,293.69000,12.01000,5.42000,0.80000,2134.94000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,303.00000,300.00000,6.09000,6.06344,35.10500,298.03000,12.68000,5.95000,0.84000,2138.85000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,404.00000,400.00000,5.62000,5.58584,34.98300,297.91000,13.38000,6.52000,0.89000,2138.26000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,506.00000,500.00000,2.49000,2.45931,34.92300,305.85000,13.33000,6.83000,0.92000,2163.77000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,607.00000,600.00000,0.73000,0.70137,34.89900,305.98000,13.86000,7.18000,0.94000,2164.93000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,810.00000,800.00000,-0.30000,-0.33278,34.89700,305.00000,13.94000,8.14000,0.94000,2168.01000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,1012.00000,1000.00000,-0.57000,-0.61055,34.90200,304.62000,14.10000,9.18000,0.96000,2166.47000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,1216.00000,1200.00000,-0.61000,-0.66057,34.90700,301.58000,14.25000,10.05000,0.97000,2166.44000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,1520.00000,1500.00000,-0.73000,-0.79586,34.91000,300.21000,14.46000,10.98000,0.97000,2169.07000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020415,0000,66.00000,2.00000,2030.00000,2000.00000,-0.84000,-0.93531,34.91600,298.87000,14.61000,11.81000,0.97000,2166.18000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,0.00000,0.00000,8.50000,8.50000,35.22900,-9999.00000,7.50000,3.30000,0.62000,2121.22000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,10.00000,10.00000,8.06000,8.05899,35.23100,-9999.00000,7.47000,3.47000,0.55000,2120.52000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,20.00000,20.00000,8.08000,8.07798,35.23400,311.51000,7.52000,3.44000,0.59000,2121.04000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,51.00000,50.00000,8.07000,8.06484,35.24300,306.44000,8.22000,3.60000,0.62000,2127.35000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,101.00000,100.00000,7.84000,7.82992,35.26100,299.76000,10.41000,5.96000,0.76000,2136.80000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,202.00000,200.00000,6.96000,6.94106,35.19600,296.55000,12.44000,6.28000,0.83000,2137.30000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,404.00000,400.00000,2.40000,2.37612,34.93600,304.14000,13.34000,7.05000,0.93000,2153.98000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,607.00000,600.00000,0.12000,0.09444,34.88800,310.76000,13.59000,7.85000,0.94000,2161.88000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,810.00000,800.00000,-0.36000,-0.39237,34.89300,307.42000,13.74000,8.86000,0.95000,2163.32000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020513,0000,66.00000,2.00000,1012.00000,1000.00000,-0.61000,-0.65022,34.90200,307.85000,13.88000,9.84000,0.94000,2161.43000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,4.10000,0.00000,12.70000,12.69940,35.14700,-9999.00000,3.98000,2.38000,0.42000,2058.16000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,12.70000,10.00000,12.80000,12.79830,35.16800,299.51000,3.66000,2.32000,0.35000,2066.99000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,22.40000,20.00000,10.20000,10.19740,35.22400,307.85000,5.94000,2.81000,0.51000,2087.01000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,51.50000,50.00000,8.11000,8.10477,35.29800,287.20000,9.61000,4.78000,0.69000,2134.42000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,98.00000,100.00000,7.36000,7.35057,35.27900,283.77000,12.28000,6.06000,0.78000,2133.24000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,199.00000,200.00000,6.64000,6.62184,35.16300,287.88000,12.67000,6.22000,0.81000,2142.49000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,401.00000,400.00000,2.37000,2.34643,34.90500,307.15000,13.42000,6.68000,0.91000,2154.20000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,601.00000,600.00000,-0.03000,-0.05453,34.89200,308.34000,13.71000,7.64000,0.91000,2167.10000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,801.70000,800.00000,-0.47000,-0.50125,34.89500,307.73000,13.85000,8.49000,0.93000,2162.74000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020611,0000,66.00000,2.00000,998.70000,1000.00000,-0.60000,-0.63965,34.90200,305.89000,14.02000,9.65000,0.90000,2162.38000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,1.90000,0.00000,13.60000,13.59970,34.94300,-9999.00000,0.49000,2.00000,0.20000,2036.93000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,10.80000,10.00000,13.47000,13.46850,34.99000,277.63000,0.48000,1.97000,0.17000,2037.19000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,19.70000,20.00000,11.64000,11.63750,35.02400,285.53000,7.10000,3.37000,0.58000,2067.55000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,49.10000,50.00000,8.75000,8.74478,35.28900,277.08000,11.25000,5.06000,0.76000,2134.87000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,99.20000,100.00000,8.20000,8.18983,35.25900,281.23000,12.10000,5.74000,0.80000,2137.18000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,202.50000,200.00000,7.06000,7.04086,35.21300,288.32000,12.42000,5.99000,0.85000,2140.87000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,399.50000,400.00000,2.60000,2.57573,34.96900,303.44000,12.99000,6.66000,0.90000,2155.67000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,600.20000,600.00000,0.33000,0.30371,34.89500,309.93000,13.67000,7.50000,0.93000,2160.27000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,802.60000,800.00000,-0.28000,-0.31256,34.89800,310.96000,13.81000,8.40000,0.94000,2162.20000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020709,0000,66.00000,2.00000,1000.90000,1000.00000,-0.52000,-0.56043,34.90400,308.26000,13.94000,9.52000,0.89000,2161.54000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,1.90000,0.00000,13.30000,13.29970,34.60000,-9999.00000,0.75000,1.36000,0.22000,2034.89000,2257.82000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,10.80000,10.00000,13.08000,13.07850,34.90000,277.46000,0.76000,1.40000,0.19000,2035.25000,2259.33000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,19.70000,20.00000,12.98000,12.97730,35.02400,274.99000,0.98000,1.44000,0.21000,2037.60000,2271.26000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,31.00000,30.00000,11.74000,11.73600,35.12100,273.10900,1.85000,1.76000,0.29000,2063.53000,2281.52000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,42.10000,40.00000,9.47000,9.46530,35.27800,271.45000,8.78000,3.90000,0.66000,2117.76000,2286.92000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,49.10000,50.00000,9.10000,9.09465,35.27800,268.86000,11.89000,4.98000,0.80000,2124.89000,2285.98000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,76.30000,75.00000,8.69000,8.68191,35.27900,272.25000,12.24000,5.59000,0.82000,2130.97000,2281.22000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,99.20000,100.00000,8.32000,8.30974,35.25900,274.75000,12.60000,6.19000,0.84000,-9999.00000,2276.04000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,148.50000,150.00000,7.70000,7.68529,35.23900,278.14000,12.64000,6.27000,0.85000,2141.55000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,202.50000,200.00000,6.87000,6.85115,35.21300,284.83000,12.68000,6.34000,0.86000,2141.16000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,300.80000,300.00000,4.35000,4.32773,35.04900,297.85000,12.93000,6.50000,0.88000,2147.75000,2258.02000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,399.50000,400.00000,1.91000,1.88796,34.96900,300.84000,13.16000,6.66000,0.89000,2154.39000,2251.92000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,501.30000,500.00000,0.95000,0.92589,34.92400,301.90000,13.43000,7.32000,0.90000,2162.11000,2251.22000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,600.20000,600.00000,0.07000,0.04500,34.89500,303.10000,13.70000,7.98000,0.91000,2166.26000,2245.27000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,802.60000,800.00000,-0.42000,-0.45163,34.89800,304.33000,13.63000,8.69000,0.93000,2157.75000,2247.48000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,1000.90000,1000.00000,-0.58000,-0.61993,34.90400,303.89000,13.97000,9.77000,0.92000,2163.80000,2256.99000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,1200.10000,1200.00000,-0.63000,-0.67955,34.90900,300.68000,14.37000,10.71000,0.97000,2158.18000,2253.02000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,1500.60000,1500.00000,-0.77000,-0.83429,34.91400,298.87000,14.43000,11.72000,0.98000,2160.13000,2251.95000,-9999.00000,-9999.00000
58P320011031,20020805,0000,66.00000,2.00000,1999.90000,2000.00000,-0.85000,-0.94321,34.91600,294.22000,14.60000,12.75000,1.00000,2161.96000,2259.29000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,1.00000,0.00000,13.62000,13.61990,35.01000,-9999.00000,0.34000,0.43000,0.14000,2071.70000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,11.00000,10.00000,13.61000,13.60840,35.04400,269.36000,0.30000,0.46000,0.14000,2074.74000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,22.00000,20.00000,12.35000,12.34710,35.19500,268.68000,0.26000,0.39000,0.17000,2076.70000,2274.24000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,53.00000,50.00000,9.29000,9.28415,35.31800,267.93000,11.20000,4.12000,0.72000,2139.93000,2265.03000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,100.00000,100.00000,7.86000,7.85000,35.25600,273.54000,11.96000,5.60000,0.78000,2143.89000,2272.61000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,201.00000,200.00000,6.87000,6.85130,35.19200,283.51000,12.40000,5.97000,0.83000,2140.89000,2272.56000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,404.00000,400.00000,4.60000,4.56898,35.05600,301.28000,12.44000,6.16000,0.85000,2149.38000,2266.94000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,607.00000,600.00000,0.89000,0.86057,34.90600,302.37000,13.43000,7.45000,0.90000,2161.07000,2250.01000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,810.00000,800.00000,-0.36000,-0.39237,34.89300,303.51000,13.42000,8.32000,0.91000,2162.34000,2259.54000,-9999.00000,-9999.00000
58P320011031,20020903,0000,66.00000,2.00000,1012.00000,1000.00000,-0.59000,-0.63039,34.90100,304.38000,13.65000,9.45000,0.93000,-9999.00000,2258.48000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,4.00000,0.00000,11.06000,11.05950,34.91000,-9999.00000,1.23000,0.29000,0.24000,2057.25000,2248.49000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,10.00000,10.00000,11.06000,11.05880,34.92200,269.12000,1.24000,0.33000,0.24000,2059.90000,2260.45000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,19.00000,20.00000,11.06000,11.05770,34.92300,268.99000,1.22000,0.32000,0.27000,2059.42000,2259.19000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,49.00000,50.00000,9.46000,9.45455,35.04900,263.60000,10.67000,3.65000,0.71000,2086.27000,2245.19000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,101.00000,100.00000,7.52000,7.51018,35.16100,270.99000,13.16000,6.13000,0.84000,2154.52000,2251.42000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,202.00000,200.00000,5.13000,5.11396,35.03900,282.20000,13.18000,6.44000,0.84000,2145.24000,2246.48000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,403.00000,400.00000,1.14000,1.12034,34.91100,306.82000,13.10000,6.29000,0.92000,2163.08000,2236.12000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,607.00000,600.00000,-0.16000,-0.18416,34.89400,307.81000,13.72000,7.49000,0.97000,2158.54000,2241.97000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,810.00000,800.00000,-0.47000,-0.50164,34.89700,308.00000,13.77000,8.39000,0.95000,2162.59000,2242.62000,-9999.00000,-9999.00000
58P320011031,20020927,0000,66.00000,2.00000,1001.00000,1000.00000,-0.64000,-0.67944,34.90300,307.26000,13.97000,9.44000,0.95000,2157.96000,2239.40000,-9999.00000,-9999.00000
58P320011031,20021029,0000,66.00000,2.00000,4.00000,0.00000,9.07000,9.06957,35.11100,-9999.00000,5.59000,1.72000,0.45000,2100.29000,2271.41000,-9999.00000,-9999.00000
58P320011031,20021029,0000,66.00000,2.00000,9.00000,10.00000,9.07000,9.06903,35.12200,274.97000,5.61000,1.71000,0.43000,2101.79000,2257.97000,-9999.00000,-9999.00000
58P320011031,20021029,0000,66.00000,2.00000,20.00000,20.00000,9.07000,9.06783,35.13100,275.18000,5.66000,1.70000,0.44000,2099.10000,-9999.00000,-9999.00000,-9999.00000
58P320011031,20021029,0000,66.00000,2.00000,31.00000,30.00000,9.07000,9.06664,35.13200,274.38700,5.76000,1.74000,0.45000,2099.03000,2266.50000,-9999.00000,-9999.00000
58P320011031,20021029,0000,66.00000,2.00000,41.00000,40.00000,9.05000,9.04556,35.14100,273.60000,5.85000,1.78000,0.45000,2099.15000,2258.52000,-9999.00000,-9999.00000
58P320011031,20021029,0000,66.00000,2.00000,52.00000,50.00000,8.94000,8.93440,35.16000,272.64000,5.94000,1.82000,0.46000,2098.89000,2270.14000,-9999.00000,-9999.00000
58P320011031,20021029,0000,66.00000,2.00000,74.00000,75.00000,8.50000,8.49226,35.21000,264.22000,8.99000,3.29000,0.62000,2136.59000,2272.44000,-9999.00000,-9999.00000
