# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33AT20120324,20120325,0341,40.01120,-70.00630,6.70000,7.00000,10.49370,10.49290,33.45040,315.42300,0.02000,0.49000,0.20000,2018.20000,2250.60000,3.81300,2.16800
33AT20120324,20120325,0339,40.01120,-70.00630,21.70000,22.00000,11.31260,11.30990,34.34770,264.01400,4.12000,1.33000,0.41000,2077.30000,2287.02000,3.32700,1.92800
33AT20120324,20120325,0336,40.01120,-70.00630,41.40000,41.00000,12.17940,12.17400,34.69440,254.21700,4.49000,1.27000,0.41000,2084.60000,2303.93000,3.13300,1.81600
33AT20120324,20120325,0333,40.01120,-70.00630,65.10000,65.00000,13.92050,13.91110,35.29120,238.46100,5.14000,1.62000,0.40000,2095.70000,2332.10000,2.80600,1.65400
33AT20120324,20120325,0331,40.01120,-70.00630,90.60000,90.00000,14.30000,14.28670,35.43710,226.03800,6.38000,2.47000,0.47000,2105.90000,2337.85000,2.67700,1.57200
33AT20120324,20120325,0327,40.01120,-70.00630,116.90000,116.00000,14.63050,14.61300,35.63780,208.66600,8.23000,3.22000,0.56000,2120.10000,2346.76000,2.51800,1.45500
33AT20120324,20120325,0324,40.01120,-70.00630,141.40000,140.00000,13.62370,13.60360,35.55310,178.77000,12.93000,6.23000,0.84000,2147.70000,2341.67000,2.30300,1.31900
33AT20120324,20120325,0321,40.01120,-70.00630,157.40000,156.00000,12.87080,12.84920,35.57520,151.19700,17.08000,8.24000,1.11000,-9999.00000,2338.98000,2.02800,1.11900
33AT20120324,20120325,2236,39.89660,-69.93090,3.00000,3.00000,10.70760,10.70720,33.65000,302.29300,0.32000,0.28000,0.21000,2027.40000,2257.68000,3.70100,2.10500
33AT20120324,20120325,2233,39.89660,-69.93090,28.40000,28.00000,13.80270,13.79870,34.84320,269.16500,1.07000,0.33000,0.20000,2058.00000,2317.95000,3.02000,1.77300
33AT20120324,20120325,2231,39.89660,-69.93090,53.10000,53.00000,12.31770,12.31070,34.78970,239.97600,6.40000,2.61000,0.51000,2096.40000,2307.59000,3.02200,1.80300
33AT20120324,20120325,2229,39.89660,-69.93090,77.20000,77.00000,13.39320,13.38240,35.20500,232.70400,6.31000,2.55000,0.47000,2101.40000,2327.76000,2.80900,1.64100
33AT20120324,20120325,2227,39.89660,-69.93090,102.10000,101.00000,14.73160,14.71630,35.60110,213.41300,7.58000,3.03000,0.51000,2115.20000,2345.35000,2.55500,1.51500
33AT20120324,20120325,2225,39.89660,-69.93090,126.40000,125.00000,14.03170,14.01340,35.49890,204.42400,9.34000,4.17000,0.62000,2124.30000,2335.66000,2.51400,1.47600
33AT20120324,20120325,2223,39.89660,-69.93090,151.40000,150.00000,14.12570,14.10360,35.67770,175.94200,13.01000,5.56000,0.83000,2148.90000,2346.75000,2.21700,1.28400
33AT20120324,20120325,2221,39.89660,-69.93090,176.10000,175.00000,13.05790,13.03350,35.65500,156.88500,18.13000,7.98000,1.12000,2176.60000,2341.05000,1.91700,1.07400
33AT20120324,20120325,2220,39.89660,-69.93090,201.80000,200.00000,11.34590,11.32040,35.43350,137.05700,21.72000,10.59000,1.36000,2188.00000,-9999.00000,1.63900,0.88700
33AT20120324,20120325,2218,39.89660,-69.93090,226.80000,225.00000,10.53980,10.51240,35.32460,139.17800,22.86000,12.45000,1.44000,-9999.00000,-9999.00000,1.54200,0.81300
33AT20120324,20120325,2216,39.89660,-69.93090,252.70000,251.00000,9.59330,9.56456,35.22200,138.87500,24.32000,13.44000,1.56000,2195.90000,2321.81000,1.36100,0.71300
33AT20120324,20120325,2214,39.89660,-69.93090,303.10000,301.00000,8.52880,8.49664,35.14620,151.19700,24.14000,14.00000,1.54000,2195.00000,2319.00000,1.45800,0.75300
33AT20120324,20120325,2211,39.89660,-69.93090,353.30000,350.00000,7.42830,7.39363,35.08940,175.23500,22.61000,13.18000,1.46000,-9999.00000,-9999.00000,1.81400,0.95200
33AT20120324,20120325,2209,39.89660,-69.93090,403.90000,400.00000,6.47720,6.44036,35.03790,198.26300,21.17000,12.62000,1.37000,2184.60000,2313.04000,2.21200,1.14600
33AT20120324,20120325,2206,39.89660,-69.93090,454.70000,451.00000,6.06410,6.02391,35.01700,209.27200,20.48000,12.37000,1.34000,-9999.00000,-9999.00000,2.38400,1.25300
33AT20120324,20120325,2204,39.89660,-69.93090,505.00000,501.00000,5.68720,5.64386,34.99820,220.78600,19.78000,12.06000,1.29000,2178.00000,2310.98000,2.61200,1.36800
33AT20120324,20120325,2200,39.89660,-69.93090,606.00000,600.00000,5.03270,4.98331,34.97710,241.59200,18.55000,11.35000,1.22000,2173.70000,2309.39000,2.99200,1.56000
33AT20120324,20120325,2157,39.89660,-69.93090,707.00000,700.00000,4.73360,4.67710,34.96790,251.69200,18.03000,10.92000,1.19000,2170.90000,2309.22000,3.14600,1.68100
33AT20120324,20120325,2155,39.89660,-69.93090,724.90000,718.00000,4.73980,4.68174,34.96860,251.18700,18.03000,10.97000,1.19000,2172.60000,2309.23000,3.16300,1.65400
33AT20120324,20120326,0139,39.85720,-69.92650,3.50000,3.00000,12.31050,12.31000,34.01680,292.59700,0.15000,0.74000,0.16000,2029.70000,2274.92000,3.10000,1.86700
33AT20120324,20120326,0137,39.85720,-69.92650,36.70000,36.00000,13.42970,13.42460,35.00510,258.66100,2.54000,1.10000,0.26000,2076.70000,2318.45000,2.59400,1.56100
33AT20120324,20120326,0134,39.85720,-69.92650,60.40000,60.00000,13.34290,13.33450,35.04590,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,0132,39.85720,-69.92650,86.50000,86.00000,14.48160,14.46880,35.47960,228.05800,6.06000,2.56000,0.41000,2103.10000,2341.04000,2.50300,1.49700
33AT20120324,20120326,0130,39.85720,-69.92650,111.60000,111.00000,14.40850,14.39200,35.55930,211.79700,8.02000,3.45000,0.52000,-9999.00000,-9999.00000,2.37000,1.42000
33AT20120324,20120326,0128,39.85720,-69.92650,136.80000,136.00000,14.10590,14.08590,35.74620,162.00400,14.30000,6.13000,0.87000,2160.50000,2346.77000,2.02300,1.17100
33AT20120324,20120326,0126,39.85720,-69.92650,165.60000,164.00000,13.28290,13.25970,35.69210,145.54100,17.40000,7.80000,1.05000,-9999.00000,-9999.00000,1.88300,1.05000
33AT20120324,20120326,0125,39.85720,-69.92650,186.40000,185.00000,12.03170,12.00720,35.53410,139.07700,20.36000,9.72000,1.25000,2182.40000,2334.03000,1.64800,0.91100
33AT20120324,20120326,0123,39.85720,-69.92650,212.30000,211.00000,11.12500,11.09850,35.40530,135.44100,22.37000,11.37000,1.40000,-9999.00000,-9999.00000,1.45600,0.78800
33AT20120324,20120326,0121,39.85720,-69.92650,237.20000,235.00000,9.99660,9.96893,35.26910,134.12800,24.29000,13.20000,1.52000,2194.90000,2321.83000,1.22500,0.66000
33AT20120324,20120326,0119,39.85720,-69.92650,267.70000,265.00000,9.37700,9.34696,35.19840,140.69300,24.24000,13.68000,1.53000,-9999.00000,-9999.00000,1.27000,0.63700
33AT20120324,20120326,0117,39.85720,-69.92650,318.00000,315.00000,8.16220,8.12931,35.11840,155.43900,24.24000,14.56000,1.55000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,0115,39.85720,-69.92650,368.10000,365.00000,6.98120,6.94630,35.05980,183.82000,22.07000,13.50000,1.42000,2188.40000,2313.08000,1.76400,0.91300
33AT20120324,20120326,0113,39.85720,-69.92650,419.60000,416.00000,6.26900,6.23136,35.01860,203.61600,20.81000,12.81000,1.36000,-9999.00000,-9999.00000,2.08800,1.12200
33AT20120324,20120326,0111,39.85720,-69.92650,470.00000,466.00000,5.90780,5.86677,35.01530,213.41300,20.27000,12.61000,1.32000,-9999.00000,-9999.00000,2.10800,1.15300
33AT20120324,20120326,0108,39.85720,-69.92650,540.60000,536.00000,5.55420,5.50821,35.00980,224.72500,19.59000,12.12000,1.29000,2176.10000,2308.84000,2.21400,1.21600
33AT20120324,20120326,0105,39.85720,-69.92650,640.50000,635.00000,4.94960,4.89766,34.97280,244.52100,18.39000,11.24000,1.21000,-9999.00000,-9999.00000,2.66700,1.50600
33AT20120324,20120326,0101,39.85720,-69.92650,741.20000,734.00000,4.74770,4.68820,34.96770,252.09600,17.98000,11.08000,1.18000,2169.40000,2307.13000,2.80000,1.60200
33AT20120324,20120326,0058,39.85720,-69.92650,843.20000,835.00000,4.52910,4.46220,34.96200,258.66100,17.67000,10.90000,1.16000,-9999.00000,-9999.00000,3.15800,1.69200
33AT20120324,20120326,0055,39.85720,-69.92650,944.50000,935.00000,4.40840,4.33364,34.96040,261.38800,17.58000,10.94000,1.15000,-9999.00000,-9999.00000,2.79400,1.65000
33AT20120324,20120326,0052,39.85720,-69.92650,1044.90000,1034.00000,4.30970,4.22701,34.96040,262.29700,17.58000,11.03000,1.15000,2165.90000,2305.72000,2.83900,1.63500
33AT20120324,20120326,0049,39.85720,-69.92650,1161.90000,1150.00000,4.25750,4.16501,34.96020,260.78200,17.61000,11.19000,1.16000,2166.40000,2309.44000,2.01500,1.37700
33AT20120324,20120326,0451,39.79110,-69.85170,6.30000,6.00000,12.24490,12.24410,33.92540,291.48600,0.03000,0.60000,0.14000,2027.80000,2268.51000,3.31500,1.91400
33AT20120324,20120326,0449,39.79110,-69.85170,21.90000,22.00000,11.20560,11.20290,33.96280,284.71900,2.13000,1.37000,0.27000,2052.10000,2269.22000,3.34900,1.93300
33AT20120324,20120326,0446,39.79110,-69.85170,42.10000,42.00000,13.83210,13.82610,35.07390,251.89400,2.73000,1.16000,0.27000,2082.60000,2321.92000,2.78900,1.64800
33AT20120324,20120326,0443,39.79110,-69.85170,67.20000,67.00000,14.28240,14.27260,35.41430,227.45200,6.22000,2.45000,0.42000,-9999.00000,-9999.00000,2.55100,1.51000
33AT20120324,20120326,0441,39.79110,-69.85170,92.10000,91.00000,14.75960,14.74580,35.67290,205.73700,8.28000,3.36000,0.52000,2123.30000,2348.31000,2.38700,1.40400
33AT20120324,20120326,0438,39.79110,-69.85170,115.70000,115.00000,14.53440,14.51720,35.73110,181.59800,11.43000,4.74000,0.70000,-9999.00000,-9999.00000,2.21800,1.27700
33AT20120324,20120326,0436,39.79110,-69.85170,142.60000,141.00000,13.95900,13.93830,35.74590,153.82300,15.41000,6.48000,0.95000,2164.20000,2344.95000,2.04100,1.15400
33AT20120324,20120326,0434,39.79110,-69.85170,166.70000,165.00000,12.28320,12.26100,35.55710,142.30900,19.32000,8.93000,1.20000,-9999.00000,-9999.00000,1.75700,0.96200
33AT20120324,20120326,0431,39.79110,-69.85170,191.60000,190.00000,11.71600,11.69130,35.47830,137.86500,21.12000,10.12000,1.32000,2185.90000,2337.48000,1.59300,0.86300
33AT20120324,20120326,0429,39.79110,-69.85170,217.30000,216.00000,10.74530,10.71880,35.34210,134.73400,23.26000,12.17000,1.46000,-9999.00000,-9999.00000,1.39000,0.73400
33AT20120324,20120326,0427,39.79110,-69.85170,242.80000,241.00000,9.79340,9.76543,35.24920,136.55200,24.18000,13.44000,1.53000,2196.40000,2324.44000,1.31000,0.64400
33AT20120324,20120326,0425,39.79110,-69.85170,287.60000,285.00000,8.38420,8.35403,35.12350,154.83300,24.03000,14.05000,1.55000,-9999.00000,-9999.00000,1.41500,0.74100
33AT20120324,20120326,0423,39.79110,-69.85170,337.90000,335.00000,7.44340,7.41024,35.08750,173.21500,22.89000,13.79000,1.49000,-9999.00000,-9999.00000,1.60900,0.83100
33AT20120324,20120326,0420,39.79110,-69.85170,389.10000,386.00000,6.46150,6.42610,35.03350,198.76800,21.12000,12.90000,1.39000,-9999.00000,-9999.00000,2.05300,1.07300
33AT20120324,20120326,0418,39.79110,-69.85170,439.80000,436.00000,5.88270,5.84449,35.01130,212.80700,20.18000,12.54000,1.33000,-9999.00000,-9999.00000,2.26100,1.20800
33AT20120324,20120326,0415,39.79110,-69.85170,490.30000,486.00000,5.60660,5.56487,35.00710,222.20000,19.67000,12.15000,1.30000,-9999.00000,-9999.00000,2.35200,1.23700
33AT20120324,20120326,0412,39.79110,-69.85170,571.10000,566.00000,5.12990,5.08307,34.98050,238.96600,18.69000,11.34000,1.23000,-9999.00000,-9999.00000,2.81300,1.47700
33AT20120324,20120326,0408,39.79110,-69.85170,672.20000,666.00000,4.78640,4.73258,34.96730,250.88400,17.99000,10.95000,1.19000,-9999.00000,-9999.00000,3.04000,1.58500
33AT20120324,20120326,0405,39.79110,-69.85170,774.20000,767.00000,4.56610,4.50485,34.96060,257.65100,17.68000,10.71000,1.18000,2169.30000,2305.35000,3.15600,1.67300
33AT20120324,20120326,0401,39.79110,-69.85170,873.50000,865.00000,4.42010,4.35134,34.95630,261.69100,17.48000,10.69000,1.16000,-9999.00000,-9999.00000,3.20800,1.69800
33AT20120324,20120326,0358,39.79110,-69.85170,975.10000,965.00000,4.39620,4.31889,34.96040,261.59000,17.53000,10.89000,1.15000,2169.00000,2308.38000,3.10300,1.63900
33AT20120324,20120326,0354,39.79110,-69.85170,1075.40000,1064.00000,4.37220,4.28632,34.97140,260.07500,17.68000,10.86000,1.17000,-9999.00000,-9999.00000,2.85300,1.49700
33AT20120324,20120326,0350,39.79110,-69.85170,1177.30000,1165.00000,4.25830,4.16442,34.97080,262.09500,17.72000,11.25000,1.18000,-9999.00000,-9999.00000,2.69400,1.38500
33AT20120324,20120326,0347,39.79110,-69.85170,1279.60000,1266.00000,4.16270,4.06063,34.97150,261.69100,17.72000,11.64000,1.18000,-9999.00000,-9999.00000,2.52900,1.27600
33AT20120324,20120326,0343,39.79110,-69.85170,1380.30000,1365.00000,4.01930,3.90971,34.95790,265.12500,17.55000,11.74000,1.16000,2165.80000,2307.83000,-9999.00000,-9999.00000
33AT20120324,20120326,0341,39.79110,-69.85170,1453.70000,1438.00000,3.98280,3.86700,34.95630,265.83200,17.57000,11.86000,1.16000,2166.60000,-9999.00000,2.62500,1.33000
33AT20120324,20120326,0902,39.70140,-69.80180,5.70000,6.00000,9.33120,9.33059,32.97820,317.44300,0.03000,0.42000,0.18000,2005.50000,2221.01000,3.81500,2.22200
33AT20120324,20120326,0900,39.70140,-69.80180,25.00000,25.00000,10.26700,10.26410,33.51020,-9999.00000,0.18000,0.80000,0.20000,2019.70000,2247.52000,3.54300,2.07100
33AT20120324,20120326,0858,39.70140,-69.80180,50.40000,50.00000,13.51760,13.51050,35.05450,224.62400,6.35000,3.11000,0.47000,2099.70000,2313.62000,2.65200,1.61000
33AT20120324,20120326,0856,39.70140,-69.80180,76.10000,76.00000,14.28380,14.27270,35.41560,220.78600,6.65000,3.19000,0.46000,-9999.00000,-9999.00000,2.50800,1.52700
33AT20120324,20120326,0852,39.70140,-69.80180,100.30000,100.00000,14.00010,13.98560,35.49350,191.39500,10.43000,5.64000,0.68000,2129.60000,2337.83000,2.33300,1.42200
33AT20120324,20120326,0850,39.70140,-69.80180,125.90000,125.00000,13.79560,13.77750,35.64310,170.48800,13.62000,7.02000,0.86000,-9999.00000,-9999.00000,2.05700,1.23700
33AT20120324,20120326,0848,39.70140,-69.80180,151.40000,150.00000,13.09620,13.07520,35.61920,153.11600,16.75000,8.18000,1.03000,2163.60000,-9999.00000,1.87100,1.07000
33AT20120324,20120326,0846,39.70140,-69.80180,177.60000,176.00000,12.32190,12.29820,35.55900,139.27900,19.65000,9.70000,1.24000,-9999.00000,-9999.00000,1.68000,0.94100
33AT20120324,20120326,0845,39.70140,-69.80180,200.70000,199.00000,11.26090,11.23570,35.42450,137.56200,21.96000,11.02000,1.37000,2184.30000,2330.09000,1.47000,0.80900
33AT20120324,20120326,0843,39.70140,-69.80180,226.50000,225.00000,10.26120,10.23430,35.30580,135.34000,23.69000,12.77000,1.49000,-9999.00000,-9999.00000,1.27700,0.67900
33AT20120324,20120326,0841,39.70140,-69.80180,252.70000,251.00000,9.21990,9.19186,35.18480,140.49100,24.86000,14.23000,1.57000,2192.90000,2319.82000,1.01600,0.59300
33AT20120324,20120326,0839,39.70140,-69.80180,303.00000,300.00000,7.60760,7.57756,35.09400,169.17500,23.20000,13.85000,1.48000,-9999.00000,-9999.00000,1.33500,0.77100
33AT20120324,20120326,0837,39.70140,-69.80180,353.40000,350.00000,6.60840,6.57593,35.05050,192.50600,21.63000,13.26000,1.41000,2182.40000,2311.10000,1.62300,0.94400
33AT20120324,20120326,0835,39.70140,-69.80180,404.50000,401.00000,5.88700,5.85195,34.99660,213.41300,20.19000,12.48000,1.32000,-9999.00000,-9999.00000,2.04600,1.20400
33AT20120324,20120326,0833,39.70140,-69.80180,453.70000,450.00000,5.49720,5.45910,34.98980,224.05800,19.55860,11.98530,1.26986,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,0831,39.70140,-69.80180,505.80000,501.00000,5.22780,5.18619,34.97850,235.33000,18.89000,11.62000,1.24000,2171.70000,2307.01000,2.39600,1.41000
33AT20120324,20120326,0828,39.70140,-69.80180,606.40000,601.00000,4.92480,4.87589,34.97020,246.03600,18.28000,11.11000,1.20000,-9999.00000,-9999.00000,2.55100,1.51900
33AT20120324,20120326,0825,39.70140,-69.80180,705.90000,699.00000,4.70350,4.64727,34.95970,253.61100,17.87000,10.77000,1.16000,-9999.00000,-9999.00000,2.68300,1.61700
33AT20120324,20120326,0822,39.70140,-69.80180,807.70000,800.00000,4.58650,4.52228,34.95860,257.65100,17.64000,10.72000,1.16000,-9999.00000,-9999.00000,2.70800,1.64600
33AT20120324,20120326,0819,39.70140,-69.80180,908.50000,900.00000,4.46780,4.39572,34.95780,260.37800,17.60000,10.71000,1.16000,-9999.00000,-9999.00000,2.62600,1.60200
33AT20120324,20120326,0816,39.70140,-69.80180,1010.70000,1001.00000,4.33440,4.25449,34.95440,263.81200,17.47000,10.73000,1.16000,2163.00000,2303.44000,2.76800,1.63000
33AT20120324,20120326,0812,39.70140,-69.80180,1113.00000,1102.00000,4.29520,4.20669,34.95720,262.90300,17.53000,10.90000,1.16000,-9999.00000,-9999.00000,2.62700,1.56700
33AT20120324,20120326,0808,39.70140,-69.80180,1212.10000,1199.00000,4.15450,4.05853,34.95380,265.52900,17.43000,11.04000,1.14000,-9999.00000,-9999.00000,2.53600,1.49000
33AT20120324,20120326,0805,39.70140,-69.80180,1312.60000,1298.00000,4.16510,4.06007,34.96800,261.59000,17.76000,11.52000,1.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,0802,39.70140,-69.80180,1414.40000,1399.00000,4.00230,3.88982,34.96130,261.48900,17.78000,11.53000,1.17000,-9999.00000,-9999.00000,2.21400,1.27500
33AT20120324,20120326,0758,39.70140,-69.80180,1515.70000,1499.00000,3.98000,3.85859,34.96250,263.81200,17.75000,12.03000,1.18000,-9999.00000,-9999.00000,1.96600,1.11100
33AT20120324,20120326,0755,39.70140,-69.80180,1618.60000,1600.00000,3.85530,3.72596,34.95830,265.83200,17.71000,12.33000,1.18000,-9999.00000,-9999.00000,1.86100,1.04600
33AT20120324,20120326,0752,39.70140,-69.80180,1719.20000,1699.00000,3.70880,3.57206,34.95010,268.76100,17.59000,12.69000,1.16000,-9999.00000,-9999.00000,1.79900,0.99600
33AT20120324,20120326,0749,39.70140,-69.80180,1821.90000,1800.00000,3.63870,3.49338,34.94790,268.66000,17.61000,13.01000,1.16000,-9999.00000,-9999.00000,1.72200,0.95000
33AT20120324,20120326,0745,39.70140,-69.80180,1923.30000,1900.00000,3.55500,3.40140,34.93800,269.36700,17.56000,13.46000,1.17000,-9999.00000,-9999.00000,1.70500,0.95800
33AT20120324,20120326,0742,39.70140,-69.80180,2026.00000,2001.00000,3.27760,3.11845,34.93670,271.28600,17.49000,15.17000,1.18000,2159.50000,2309.20000,1.45700,0.80600
33AT20120324,20120326,0739,39.70140,-69.80180,2088.10000,2062.00000,3.16090,2.99774,34.93350,270.27600,17.47000,15.98000,1.17000,2160.70000,2311.74000,1.33300,0.73200
33AT20120324,20120326,1313,39.47480,-69.64200,10.20000,10.00000,10.33950,10.33830,33.26560,303.00000,0.05000,0.00000,0.20000,2023.20000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,1311,39.47480,-69.64200,39.50000,39.00000,14.10330,14.09760,35.35370,236.54200,5.10000,2.00000,0.38000,2093.60000,2334.42000,2.76500,1.62700
33AT20120324,20120326,1309,39.47480,-69.64200,64.70000,64.00000,15.04290,15.03310,35.73540,211.99900,7.43000,2.93000,0.47000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,1307,39.47480,-69.64200,85.50000,85.00000,14.05850,14.04610,35.53050,227.75500,6.94000,2.78000,0.47000,2109.70000,-9999.00000,2.65700,1.55600
33AT20120324,20120326,1305,39.47480,-69.64200,113.80000,113.00000,14.26810,14.25140,35.65820,221.29100,7.67000,3.09000,0.52000,2115.50000,2346.92000,2.57800,1.49400
33AT20120324,20120326,1303,39.47480,-69.64200,136.10000,135.00000,14.37910,14.35900,35.80070,157.56000,14.54000,5.96000,0.86000,-9999.00000,-9999.00000,2.16200,1.24500
33AT20120324,20120326,1301,39.47480,-69.64200,161.40000,160.00000,13.36500,13.34230,35.66640,149.37900,17.26000,7.56000,1.03000,2167.50000,2340.18000,-9999.00000,-9999.00000
33AT20120324,20120326,1259,39.47480,-69.64200,186.70000,185.00000,11.97890,11.95440,35.50810,137.96600,20.78000,9.82000,1.25000,-9999.00000,-9999.00000,1.74800,0.93700
33AT20120324,20120326,1257,39.47480,-69.64200,212.00000,210.00000,10.99030,10.96400,35.37280,133.32000,22.95000,11.78000,1.41000,2188.60000,2326.07000,1.50900,0.79500
33AT20120324,20120326,1256,39.47480,-69.64200,235.80000,234.00000,10.16100,10.13320,35.29590,134.02700,23.94000,12.76000,1.49000,-9999.00000,-9999.00000,1.39500,0.71300
33AT20120324,20120326,1254,39.47480,-69.64200,267.70000,265.00000,9.40200,9.37191,35.20190,139.17800,24.66000,13.91000,1.56000,-9999.00000,-9999.00000,1.30900,0.66000
33AT20120324,20120326,1252,39.47480,-69.64200,317.80000,315.00000,8.20240,8.16943,35.12040,155.13600,24.05000,14.22000,1.56000,2192.00000,2316.19000,1.48100,0.75400
33AT20120324,20120326,1250,39.47480,-69.64200,368.60000,365.00000,7.34250,7.30653,35.09490,174.52800,22.86000,13.82000,1.49000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,1249,39.47480,-69.64200,418.20000,415.00000,6.59900,6.56043,35.04430,193.61700,21.57000,13.21000,1.41000,-9999.00000,-9999.00000,2.02000,1.03500
33AT20120324,20120326,1247,39.47480,-69.64200,469.70000,466.00000,5.83250,5.79178,35.00530,215.73600,20.08000,12.34000,1.35000,2178.10000,-9999.00000,2.52200,1.34900
33AT20120324,20120326,1245,39.47480,-69.64200,539.20000,534.00000,5.33730,5.29235,34.98270,231.08800,19.56070,12.03650,1.31433,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,1242,39.47480,-69.64200,641.00000,635.00000,5.09000,5.03728,35.00820,238.56200,18.80000,11.61000,1.27000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,1239,39.47480,-69.64200,742.60000,736.00000,4.82730,4.76719,34.99680,247.34900,18.04970,11.08070,1.22616,-9999.00000,-9999.00000,2.82600,1.92100
33AT20120324,20120326,1237,39.47480,-69.64200,843.40000,835.00000,4.44630,4.37992,34.96550,260.37800,17.59000,10.72000,1.19000,2164.80000,2306.23000,3.26300,1.66800
33AT20120324,20120326,1234,39.47480,-69.64200,943.80000,934.00000,4.29650,4.22261,34.96210,262.60000,17.56000,10.89000,1.18000,-9999.00000,-9999.00000,3.20800,1.63300
33AT20120324,20120326,1231,39.47480,-69.64200,1045.20000,1035.00000,4.19250,4.11072,34.96010,263.71100,17.54000,11.05000,1.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,1228,39.47480,-69.64200,1147.10000,1135.00000,4.11080,4.02090,34.95910,264.41800,17.56000,11.32000,1.18000,-9999.00000,-9999.00000,2.96500,1.48000
33AT20120324,20120326,1226,39.47480,-69.64200,1249.70000,1236.00000,4.03680,3.93861,34.95870,265.52900,17.59000,11.48000,1.19000,-9999.00000,-9999.00000,2.80900,1.41000
33AT20120324,20120326,1223,39.47480,-69.64200,1349.90000,1335.00000,3.93370,3.82771,34.95400,266.23600,17.55000,11.78000,1.18000,-9999.00000,-9999.00000,2.69200,1.34100
33AT20120324,20120326,1221,39.47480,-69.64200,1437.60000,1422.00000,3.84330,3.73048,34.95260,266.94300,17.55000,12.17000,1.17000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,1218,39.47480,-69.64200,1553.00000,1535.00000,3.75070,3.62859,34.94940,267.54900,17.55000,12.53000,1.18000,2159.60000,2308.30000,2.37200,1.15800
33AT20120324,20120326,1215,39.47480,-69.64200,1652.50000,1633.00000,3.68490,3.55458,34.94840,268.66000,17.59000,12.74000,1.17000,-9999.00000,-9999.00000,2.22900,1.08000
33AT20120324,20120326,1212,39.47480,-69.64200,1755.40000,1735.00000,3.59470,3.45613,34.94580,269.06400,17.55000,13.14000,1.17000,-9999.00000,-9999.00000,2.17400,1.04700
33AT20120324,20120326,1210,39.47480,-69.64200,1856.80000,1835.00000,3.50570,3.35899,34.94130,269.77100,17.51000,13.62000,1.17000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33AT20120324,20120326,1207,39.47480,-69.64200,1957.70000,1934.00000,3.41220,3.25744,34.93850,270.27600,17.46000,14.15000,1.17000,-9999.00000,-9999.00000,1.98500,0.95900
33AT20120324,20120326,1204,39.47480,-69.64200,2090.90000,2065.00000,3.27000,3.10487,34.93630,270.78100,17.41000,15.02000,1.17000,-9999.00000,-9999.00000,1.84500,0.88600
33AT20120324,20120326,1159,39.47480,-69.64200,2283.70000,2254.00000,3.06870,2.88853,34.93180,271.38700,17.32000,16.19000,1.18000,2159.60000,2310.54000,1.71200,0.82400
33AT20120324,20120326,1154,39.47480,-69.64200,2422.70000,2390.00000,2.90340,2.71276,34.92580,272.80100,17.21000,17.09000,1.16000,2162.70000,2311.20000,1.77800,0.86500
33AT20120324,20120326,1754,39.25820,-69.48980,2.80000,3.00000,15.10150,15.10110,35.33000,269.97300,0.00000,0.33000,0.08000,2046.90000,2339.36000,2.62700,1.62900
33AT20120324,20120326,1752,39.25820,-69.48980,20.90000,21.00000,15.10000,15.09680,35.33160,270.17500,0.00000,0.36000,0.06000,2047.10000,2337.36000,2.62800,1.63700
33AT20120324,20120326,1750,39.25820,-69.48980,41.50000,41.00000,14.02600,14.02000,35.37950,-9999.00000,2.91000,0.87000,0.28000,-9999.00000,-9999.00000,2.62700,1.60800
33AT20120324,20120326,1747,39.25820,-69.48980,66.30000,66.00000,14.03880,14.02920,35.52700,239.57200,5.52000,2.70000,0.42000,2102.10000,2343.49000,2.53400,1.57900
33AT20120324,20120326,1745,39.25820,-69.48980,91.30000,91.00000,14.05630,14.04300,35.54990,232.90600,6.45000,2.73000,0.45000,-9999.00000,-9999.00000,2.53900,1.56000
33AT20120324,20120326,1741,39.25820,-69.48980,115.80000,115.00000,14.12750,14.11060,35.62750,230.98700,7.24000,3.56000,0.50000,2109.50000,2347.18000,2.42900,1.50700
33AT20120324,20120326,1739,39.25820,-69.48980,140.40000,139.00000,13.93350,13.91320,35.68100,192.10200,11.74000,5.45000,0.74000,-9999.00000,-9999.00000,2.12500,1.27600
